REPOSITORY ID,REPOSITORY LINK,SAMPLE NUMBER,STUDY TITLE,STUDY LINK,ASSAY TYPE,TECHNOLOGY,COUNTRY,DISEASE,DOID,STUDY DESIGN,BODY SITE,PLATFORM,PARTICIPANT FEATURES,AVERAGE SPOTLENGTH,RUN ID,Sample ID,Sample Name,COLLECTION DATE,LIBRARY LAYOUT,LAT LON,SAMPLE TYPE,ETHNICITY,URBANZATION,REGION,,TARGET AMPLICON,DIET
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442654,SAMN17320782,2,22-11-2017,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442655,SAMN17320781,1,22-11-2017,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442634,SAMN17320795,15,28-02-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442602,SAMN17320824,44,18-07-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//CS,401,SRR13442640,SAMN17320892,112,15-07-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//CS,401,SRR13442603,SAMN17320823,43,12-07-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,400,SRR13442615,SAMN17320812,32,25-04-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,male//NVD,401,SRR13442567,SAMN17320856,76,25-01-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//CS,400,SRR13442573,SAMN17320788,8,01-02-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442598,SAMN17320828,48,26-07-2018,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442638,SAMN17320894,114,14-07-2019,paired,,stool,,urban,Cape Town,,v4,
PRJNA692358,PRJNA692358,115,Gut microbiome of children from Cape Town communities,34354176,amplicon,Illumina,South Africa,,,Cross-sectional,gut,Illumina Miseq,female//NVD,401,SRR13442649,SAMN17320884,104,09-06-2019,paired,,stool,,urban,Cape Town,,v4,
